Nama barang,Harga
Ipad mini 4 wifi + cellular 64GB Gold,"Rp 4,500,000Rp 5,000,000"
IPad Mini 5,"Rp 4,400,000"
#255 iPad Air 4 MYFN2 SILVER 64gb wifi,"Rp 8,500,000"
#288 iPad Air 4 MYFM2 GREY 64gb wifi garansi ON sep 2022,"Rp 8,500,000"
#200 iPad Mini 5 MUQX2 SILVER 64gb wifi lumayan mulus,"Rp 4,800,000"
Ipad 8 2020 WIFI 32gb + Apple pencil 1,"Rp 5,400,000"
iPad 6 128gb,"Rp 4,400,000"
negoin samsung tab a6,"Rp 650,000"
iPad Air 2 128gb Gold no box mulus,"Rp 3,750,000"
Apple Pencil Gen 2 (OCT 2020),"Rp 1,750,000"
Huawei matepad 11 original second lengkap bonus keyboard + silicon + tempredglass,"Rp 7,250,000"
Ipad 8 garansi inter include apple pencil Wi-fi only,"Rp 6,800,000"
iPad Pro 2018 11” 3rd 256GB Wifi Cellular Silver + BONUS Magnetic Case,"Rp 10,000,000"
Ipad 2 32GB cellular,"Rp 950,000"
#292 iPad Mini 6 MK7M3 GREY 64gb wifi garansi ON oktober 2022,"Rp 8,200,000"
Cicilan Samsung Tab A7 Lite Proses Mudah,"Rp 2,499,000"
ADVAN TAB SKETSA CASE STYLUS,"Rp 2,100,000"
[BEST DEAL CHEAPEST] Samsung S6 Lite 128GB PINK Lengkap + Bonus,"Rp 4,500,000Rp 4,990,000"
Ipad mini 4,"Rp 3,000,000"
